id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,is_ascii
9550352,one bedroom connect to thonglor bts,48073897,amy,Khlong Toei,13.72489,100.57646,Entire home/apt,2351,2,28,2019-02-24,0.33,3,181,0,True
9053892,คอนโดแสนสบาย,41053836,kook,Khlong San,13.72427,100.49804,Private room,1000,2,0,,,1,365,0,False
9008384,brand new sukhumvit condo cozy bts,6632570,ethan,Vadhana,13.71301,100.59995,Entire home/apt,850,14,33,2022-09-30,0.38,2,326,6,True
9060067,บ้านกลางเมือง สาทร-ราชพฤกษ์,47262357,teerawat,Phasi Charoen,13.72975,100.45738,Private room,1209,1,0,,,1,365,0,False
9580135,river view longterm rent (monthly),49384786,naphon,Thon buri,13.70818,100.49639,Entire home/apt,2500,30,2,2016-12-26,0.03,1,90,0,True
9012311,bed in 8 bed mixed dorm (bathroom inside),47060002,pantipa,Ratchathewi,13.75445,100.53226,Private room,2450,1,53,2020-01-26,0.61,6,361,0,True
9581470,spacious apt in city of angels,49220458,pim,Pra Wet,13.73468,100.65949,Entire home/apt,589,1,384,2022-12-25,4.49,2,46,21,True
9060181,"city center, cozy, convenience,",47262734,tanita,Phasi Charoen,13.71838,100.45687,Private room,1000,1,0,,,1,365,0,True
9066964,the ninth place condo srinakarin rd,33537656,johnson,Pra Wet,13.68868,100.64625,Entire home/apt,1385,3,6,2022-10-29,0.07,1,156,1,True
9075590,stylish private house in tranquil central residential area,24955578,tor,Din Daeng,13.7774,100.56532,Entire home/apt,3800,2,330,2022-12-24,3.87,3,300,44,True
9025676,"offers ""king bed+sofa bed & bts"" 毗邻超市及素昆逸轻快铁站",8134752,tete quarters,Pra Wet,13.71818,100.66438,Entire home/apt,1212,14,12,2022-11-21,0.14,3,157,3,False
10000720,basic bunk bed room near wat pho,20801609,effie,Phra Nakhon,13.74855,100.498,Private room,800,1,8,2020-01-19,0.16,7,336,0,True
9080092,"52.5m supalai park srinakarin, bts udomsuk",47352655,jarupa,Pra Wet,13.67234,100.64425,Private room,520,60,2,2017-11-28,0.03,1,362,0,True
10000742,,51374914,diamond bangkok,Ratchathewi,13.75328,100.52928,Private room,930,1,6,2017-05-13,0.07,1,365,0,False
9080145,1br/heart of sathorn/looftoppool/bts/wifi,9509219,piya,Sathon,13.72012,100.52886,Entire home/apt,1905,365,7,2017-07-02,0.08,8,89,0,True
10008160,舒适空调全下铺7人间（中文服务）曼谷树青旅treehostel,49419222,lee,Din Daeng,13.76416,100.56355,Shared room,363,1,0,,,5,365,0,False
10008444,舒适空调下铺7人间（中文服务）曼谷树青旅treehostel,49419222,lee,Din Daeng,13.76451,100.56407,Shared room,363,1,2,2017-09-04,0.02,5,365,0,False
9080633,รัณตา,47355315,horatiok,Bang Khun thain,13.65324,100.42879,Private room,500,1,0,,,1,365,0,False
10009017,room for 4 (female only)/close to platinium mall,51113767,metro pratunam,Ratchathewi,13.75072,100.54662,Hotel room,5229,1,1,2019-01-01,0.02,7,0,0,True
10011621,ann3 family room near bts,3192020,mary ann,Ratchathewi,13.75597,100.53382,Entire home/apt,3000,30,3,2016-04-11,0.04,5,365,0,True
9096300,bee condo sukhumvit67: 400m to bts prakanong,47425603,bee,Vadhana,13.71739,100.58964,Entire home/apt,750,30,0,,,3,364,0,True
9581593,10 min to silom next to bts,11929193,thanapol,Chom Thong,13.71441,100.46733,Private room,866,45,0,,,1,352,0,True
9581611,stunning loft in city of life,49220458,pim,Pra Wet,13.73468,100.65949,Entire home/apt,727,1,362,2022-12-27,4.21,2,74,11,True
9582947,6人间床位一个（中文服务）曼谷树青旅treehostel,49419222,lee,Din Daeng,13.76644,100.56421,Private room,363,1,5,2016-12-31,0.06,5,365,0,False
9587125,breezy condo in the city close khlong pier: i,49539775,max,Vadhana,13.7478,100.55743,Entire home/apt,1200,15,345,2022-12-16,4.87,36,131,38,True
10022431,dd hostel - hollywood room,25775759,nuttaporn,Phaya Thai,13.76309,100.54356,Private room,1000,1,1,2016-09-12,0.01,8,364,0,True
9118133,condominium silom/sathorn 5min bts,47511507,somchai,Bang Rak,13.72558,100.53448,Private room,1500,180,0,,,1,364,0,True
10022865,dd hostel - chinese painting room,25775759,nuttaporn,Phaya Thai,13.76308,100.54357,Private room,750,1,2,2018-05-11,0.03,8,365,0,True
10022979,dd hostel - chinese mirror room,25775759,nuttaporn,Phaya Thai,13.76308,100.54353,Private room,700,1,43,2019-09-14,0.54,8,364,0,True
10023230,dd hostel - sweet room,25775759,nuttaporn,Phaya Thai,13.76308,100.54359,Private room,700,1,2,2017-12-19,0.03,8,364,0,True
10023368,dd hostel - garden 6 beds dormitory,25775759,nuttaporn,Phaya Thai,13.76415,100.54457,Shared room,400,1,0,,,8,364,0,True
10023409,dd hostel - flag 4 beds family dorm,25775759,nuttaporn,Phaya Thai,13.76308,100.54358,Private room,1200,1,0,,,8,365,0,True
10024012,dd hostel - coke room,25775759,nuttaporn,Phaya Thai,13.76308,100.54353,Private room,700,1,26,2019-09-09,0.32,8,364,0,True
10024172,dd hostel - flower 4bed family dorm,25775759,nuttaporn,Phaya Thai,13.76309,100.54355,Private room,1300,1,12,2018-04-03,0.14,8,364,0,True
10028375,nc 1bdr leaving rm balcony. kichan,32473896,sonia,Huai Khwang,13.74413,100.58973,Private room,2424,1,0,,,1,365,0,True
9118829,vacio suite executive,47168014,monica,Khlong Toei,13.73499,100.56031,Private room,2450,1,3,2016-12-01,0.03,2,1,0,True
9120644,vacio suite room,47168014,monica,Khlong Toei,13.73369,100.55996,Private room,3450,1,0,,,2,1,0,True
9126871,ใกล้สนามบินสุวรรณภูมิ near airport,47545065,pitsmai,Lat Krabang,13.72182,100.72348,Private room,1000,120,0,,,1,365,0,False
9595246,nakoya garden,49661957,ekapop,Bang Khen,13.84818,100.62206,Private room,491,1,1,2017-02-08,0.01,1,365,0,True
9596024,wifi service apartment in the city,49390718,boss mansion,Khlong Toei,13.71319,100.58426,Entire home/apt,850,1,77,2022-11-16,0.89,2,356,4,True
10061342,central br(a)nd new soi 11 nana bts daily cleaning,25799515,aman & marisa,Vadhana,13.74253,100.55711,Entire home/apt,6500,1,91,2022-09-24,1.07,4,295,3,True
9616548,the key condominium pahon34,49749179,kanok n.,Chatu Chak,13.83709,100.57751,Private room,650,13,3,2020-02-16,0.06,2,0,0,True
10076441,nye wongvienyai condo by sansiri close bts,33093491,domvet,Khlong San,13.7222,100.4958,Private room,1200,90,0,,,2,365,0,True
10089119,zenith place sukhumvit 42,38880841,kingkarn,Khlong Toei,13.71588,100.58455,Entire home/apt,2108,30,0,,,1,365,0,True
9138110,คอนโดทรีโอ้การ์เด้นท์  ติดรถไฟฟ้า ศรีนครินทร์ 38,34505619,nichapark,Pra Wet,13.69925,100.64578,Entire home/apt,764,30,0,,,1,365,0,False
10090404,10 pax best location of bkk/ 100m to bts ploenchit,42594121,gift,Vadhana,13.74426,100.5508,Entire home/apt,5564,1,8,2019-02-08,0.09,21,361,0,True
10106578,atelier suites,51864188,atelier,Wang Thong Lang,13.76593,100.62435,Private room,2800,3,3,2019-04-07,0.05,2,180,0,True
9617793,"rare : central, panoramic views, luxury",27325693,jamil,Parthum Wan,13.74471,100.54346,Entire home/apt,2078,30,1,2017-12-18,0.02,1,363,0,True
9617839,bunk bed in mixed dormitory for 2,30682777,golden mountain hostel,Phra Nakhon,13.75384,100.5051,Shared room,1000,1,2,2017-08-26,0.03,9,330,0,True
9618414,bunk bed in female dormitory for 2,30682777,golden mountain hostel,Phra Nakhon,13.75365,100.50483,Shared room,1000,1,1,2016-07-13,0.01,9,330,0,True
10109234,lux cbd 4 beds suite 1minbts freewifi+pool 175sqm,39744308,ed,Bang Rak,13.72452,100.53065,Entire home/apt,3983,1,198,2022-11-23,2.32,12,294,18,True
10111765,executive room – studio 27 sq.m,12884020,yair,Pra Wet,13.72439,100.69414,Private room,1235,10,1,2018-04-03,0.02,8,364,0,False
10118814,"1 bedroom ensuite behind the mall 2, ramkamhaeng",6595261,noi,Bang Kapi,13.74969,100.61163,Entire home/apt,801,30,2,2018-01-22,0.03,2,71,0,True
9619436,"cozy home like your own,jatujak",49765687,oradee,Chatu Chak,13.84895,100.56023,Private room,800,2,0,,,1,179,0,True
